ALQ245,"Perno todo rosca de 1/2"" x 0.30 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ246,"Perno todo rosca de 1/2"" x 0.20 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ247,"Perno todo rosca de 1/2"" x 0.65 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ248,"Perno todo rosca de 1/2"" x 0.5 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ249,"Perno todo rosca de 5/8"" x 0.40 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ250,"Perno todo rosca de 5/8"" x 0.60 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ251,"Perno todo rosca de 5/8"" x 0.50 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ252,"Perno todo rosca de 7/8"" x 1.00 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ253,"Perno todo rosca de 7/8"" x 0.65 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ254,"Perno todo rosca de 7/8"" x 0.40 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ255,"Perno todo rosca de 7/8"" x 0.30 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ256,"Perno todo rosca de 7/8"" x 0.20 m completo incluye 2 tuercas y 2 arandelas",0,0,10
ALQ257,"Placa de 0.15 m  x 0.15 m x 3/8"" con agujero de 1/2""",0,0,10
ALQ258,"Placa de 0.15 m x 0.10 m x 3/8""",0,0,10
ALQ259,"Wailer de 4"" x 1.30 m",0,0,10
ALQ260,"Wailer de 4"" x 5.40 m",130.52,0,10
ALQ261,"Wailer de 6"" x 5.50 m",0,0,10
ALQ262,"Wailer de 6"" x 4.56 m",0,0,10
ALQ263,"Marco de andamio estructural de 1.26 m x 1.80 m de 2""",0,0,10
ALQ264,Viga I de aluminio de 6 pies,45.5,2.4,10
ALQ265,Viga I de aluminio de 9.5 pies,72.5,3.8,10
ALQ266,Viga I de aluminio de 13 pies,100,5.2,10
ALQ267,Viga I de aluminio de 19 pies,145,7.6,10
ALQ268,"Marco de andamio estructural 1.82 m x 1.27 m x 2""",175,3.7,10
ALQ269,"Placa de 3/8"" x 15 cm x 15 cm con agujero de 1 1/4""",6,1.1,10
ALQ270,"Placa de angulo de 3/8"" con agujero de 1""",6,1.1,10
ALQ271,Viga H de 3.05M  Acero A992,0,0,10
ALQ272,"placa de 1 1/2"" x 10 cm x 10 cm x 3/8""",0,1.1,10
ALQ273,Cajuela superior de 0.20 m,0,0,10
ALQ274,"Wailer de 5""x6.0M",0,0,10
ALQ275,"Wailer de 5""x4.0M",0,0,10
ALQ276,"Wailer de 5""x3.0M",0,0,10
ALQ277,"Wailer de 5""x2.0M",0,0,10
ALQ278,"Wailer de 5""x1.20M",0,0,10
ALQ279,Wailer de 5¨x 6.0 M,0,0,10
ALQ280,Wailer de 5¨x 4.0 M,0,0,10
ALQ281,Wailer de 5¨x 3.0 M,0,0,10
ALQ282,Wailer de 5¨x 2.0 M,0,0,10
ALQ283,Wailer de 5¨x 1.20 M,0,0,10
ALQ284,Extencion para andamio  Estructural de 1.26 M x 1.20 M x 2¨,0,3.6,10
